CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
1,NDPS,20,1,1
2,IPC,354,1,1
2,IPC,411,1,2
3,POCSO,4,1,1
4,POCSO,4,1,1
4,POCSO,8,1,2
4,POCSO,6,1,3
5,IT,66C,1,1
5,IT,67,1,2
6,IT,66D,1,1
6,IT,66C,1,2
6,IT,67,1,3
7,MV,196,1,1
8,IT,66C,1,1
8,IT,66D,1,2
8,IT,67,1,3
9,IPC,120B,1,1
9,IPC,411,1,2
9,IPC,392,1,3
10,DP,4,1,1
11,DP,4,1,1
12,NDPS,8,1,1
12,NDPS,21,1,2
12,NDPS,22,1,3
13,DP,4,1,1
13,DP,3,1,2
14,MV,184,1,1
14,MV,177,1,2
15,NDPS,8,1,1
15,NDPS,20,1,2
15,NDPS,22,1,3
16,POCSO,4,1,1
17,MV,184,1,1
17,MV,196,1,2
18,MV,184,1,1
18,MV,196,1,2
19,NDPS,21,1,1
20,IPC,354,1,1
20,IPC,392,1,2
21,DP,3,1,1
22,POCSO,6,1,1
23,MV,177,1,1
23,MV,184,1,2
23,MV,196,1,3
24,MV,196,1,1
24,MV,177,1,2
25,IPC,34,1,1
25,IPC,392,1,2
26,DP,4,1,1
27,NDPS,8,1,1
27,NDPS,20,1,2
27,NDPS,21,1,3
28,IPC,376,1,1
29,MV,196,1,1
29,MV,184,1,2
30,IT,66D,1,1
30,IT,67,1,2
31,IT,67,1,1
31,IT,66D,1,2
32,IT,67,1,1
32,IT,66C,1,2
33,IT,67,1,1
34,IT,66D,1,1
34,IT,67,1,2
35,IPC,379,1,1
35,IPC,354,1,2
35,IPC,392,1,3
36,MV,177,1,1
36,MV,196,1,2
37,MV,184,1,1
37,MV,177,1,2
38,DP,4,1,1
38,DP,3,1,2
39,IPC,392,1,1
39,IPC,379,1,2
40,MV,196,1,1
40,MV,177,1,2
40,MV,184,1,3
41,IPC,376,1,1
42,IPC,379,1,1
43,IT,66C,1,1
43,IT,67,1,2
44,MV,184,1,1
44,MV,177,1,2
45,IPC,379,1,1
46,DP,3,1,1
46,DP,4,1,2
47,IT,66C,1,1
47,IT,67,1,2
48,IPC,34,1,1
49,MV,177,1,1
49,MV,196,1,2
50,POCSO,8,1,1
50,POCSO,6,1,2
50,POCSO,4,1,3
51,POCSO,4,1,1
51,POCSO,6,1,2
51,POCSO,8,1,3
52,POCSO,4,1,1
52,POCSO,6,1,2
53,IT,66D,1,1
53,IT,67,1,2
54,NDPS,8,1,1
54,NDPS,21,1,2
55,POCSO,6,1,1
56,DP,3,1,1
57,DP,3,1,1
58,POCSO,6,1,1
58,POCSO,4,1,2
58,POCSO,8,1,3
59,MV,196,1,1
60,NDPS,8,1,1
60,NDPS,20,1,2
60,NDPS,21,1,3
61,IPC,420,1,1
61,IPC,379,1,2
62,IPC,120B,1,1
63,DP,4,1,1
63,DP,3,1,2
64,MV,196,1,1
65,MV,196,1,1
66,DP,3,1,1
66,DP,4,1,2
67,IT,67,1,1
68,IT,66D,1,1
69,IPC,307,1,1
69,IPC,323,1,2
69,IPC,392,1,3
70,MV,177,1,1
70,MV,184,1,2
71,DP,3,1,1
71,DP,4,1,2
72,NDPS,21,1,1
72,NDPS,20,1,2
72,NDPS,8,1,3
73,NDPS,8,1,1
74,IT,66D,1,1
75,MV,184,1,1
75,MV,196,1,2
75,MV,177,1,3
76,DP,3,1,1
77,IPC,379,1,1
78,DP,4,1,1
78,DP,3,1,2
79,DP,3,1,1
79,DP,4,1,2
80,IT,66D,1,1
80,IT,66C,1,2
81,DP,3,1,1
81,DP,4,1,2
82,NDPS,8,1,1
82,NDPS,21,1,2
83,IPC,120B,1,1
83,IPC,411,1,2
84,POCSO,8,1,1
84,POCSO,4,1,2
84,POCSO,6,1,3
85,IT,66D,1,1
85,IT,67,1,2
85,IT,66C,1,3
86,IPC,392,1,1
86,IPC,379,1,2
86,IPC,420,1,3
87,POCSO,8,1,1
87,POCSO,6,1,2
87,POCSO,4,1,3
88,IPC,34,1,1
89,DP,4,1,1
90,MV,184,1,1
91,IT,66C,1,1
92,IT,66D,1,1
93,IT,67,1,1
93,IT,66C,1,2
94,POCSO,6,1,1
94,POCSO,8,1,2
95,POCSO,8,1,1
95,POCSO,6,1,2
96,NDPS,21,1,1
96,NDPS,20,1,2
97,NDPS,8,1,1
97,NDPS,20,1,2
98,NDPS,8,1,1
99,NDPS,20,1,1
99,NDPS,22,1,2
100,NDPS,22,1,1
100,NDPS,8,1,2
101,DP,3,1,1
102,POCSO,8,1,1
103,POCSO,4,1,1
104,IT,66C,1,1
105,MV,184,1,1
105,MV,196,1,2
106,MV,196,1,1
106,MV,184,1,2
106,MV,177,1,3
107,DP,3,1,1
107,DP,4,1,2
108,IT,66D,1,1
108,IT,66C,1,2
108,IT,67,1,3
109,IT,67,1,1
110,IT,67,1,1
110,IT,66D,1,2
110,IT,66C,1,3
111,NDPS,8,1,1
111,NDPS,22,1,2
111,NDPS,20,1,3
112,MV,184,1,1
113,DP,4,1,1
114,POCSO,6,1,1
115,IPC,323,1,1
116,MV,177,1,1
116,MV,196,1,2
117,POCSO,6,1,1
117,POCSO,8,1,2
118,IT,67,1,1
118,IT,66D,1,2
118,IT,66C,1,3
119,DP,4,1,1
119,DP,3,1,2
120,IT,67,1,1
120,IT,66D,1,2
121,MV,184,1,1
121,MV,196,1,2
121,MV,177,1,3
122,IPC,420,1,1
122,IPC,379,1,2
123,POCSO,4,1,1
123,POCSO,6,1,2
124,NDPS,8,1,1
124,NDPS,22,1,2
124,NDPS,21,1,3
125,POCSO,6,1,1
126,IT,66C,1,1
126,IT,67,1,2
127,NDPS,8,1,1
128,IPC,411,1,1
128,IPC,420,1,2
128,IPC,302,1,3
129,DP,4,1,1
130,IT,66D,1,1
130,IT,66C,1,2
130,IT,67,1,3
131,POCSO,8,1,1
131,POCSO,4,1,2
132,IT,67,1,1
132,IT,66C,1,2
132,IT,66D,1,3
133,POCSO,6,1,1
133,POCSO,4,1,2
133,POCSO,8,1,3
134,NDPS,8,1,1
134,NDPS,22,1,2
134,NDPS,21,1,3
135,IT,67,1,1
136,POCSO,6,1,1
136,POCSO,8,1,2
137,IT,66C,1,1
137,IT,67,1,2
138,MV,196,1,1
139,MV,184,1,1
139,MV,196,1,2
140,NDPS,21,1,1
140,NDPS,22,1,2
141,MV,184,1,1
141,MV,177,1,2
141,MV,196,1,3
142,IPC,392,1,1
142,IPC,376,1,2
143,IT,66C,1,1
143,IT,66D,1,2
143,IT,67,1,3
144,IT,66D,1,1
144,IT,67,1,2
144,IT,66C,1,3
145,NDPS,21,1,1
146,POCSO,4,1,1
147,NDPS,22,1,1
147,NDPS,20,1,2
147,NDPS,21,1,3
148,NDPS,21,1,1
148,NDPS,22,1,2
149,DP,3,1,1
150,MV,184,1,1
151,IT,66C,1,1
151,IT,66D,1,2
