ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
1,1,1,2026-06-12,1,4,11,115,7,2,True,False
2,1,1,2026-07-09,1,4,11,115,7,3,True,False
3,3,2,2025-11-13,1,4,9,100,7,6,True,False
4,5,1,2025-08-31,1,4,10,106,8,12,True,False
5,6,1,2025-01-31,1,3,5,58,5,15,True,False
6,6,1,2025-01-22,1,3,5,58,5,16,True,False
7,7,1,2025-08-19,1,21,62,723,42,17,True,False
8,8,1,2026-03-07,1,4,11,114,8,19,True,False
9,9,1,2025-07-17,1,1,2,26,2,20,True,False
10,9,2,2025-07-24,1,1,2,26,2,21,True,False
11,9,1,2025-07-03,1,1,2,26,2,22,True,False
12,11,1,2024-09-26,1,4,10,105,8,24,True,False
13,11,1,2024-09-08,1,4,10,105,8,27,True,False
14,12,1,2025-05-24,1,15,39,444,29,28,True,False
15,12,1,2025-05-17,1,15,39,444,29,29,True,False
16,14,1,2025-05-11,1,7,19,213,13,31,True,False
17,14,2,2025-05-05,1,7,19,213,13,32,True,False
18,14,1,2025-05-01,1,7,19,213,13,33,True,False
19,14,1,2025-05-16,1,7,19,213,13,34,True,False
20,15,2,2025-01-31,1,5,14,154,9,35,True,False
21,16,1,2026-01-04,1,3,6,69,5,36,True,False
22,16,1,2025-12-22,1,3,6,69,5,38,True,False
23,16,1,2025-12-08,1,3,6,69,5,39,True,False
24,17,1,2024-10-15,1,24,72,843,47,40,True,False
25,18,1,2026-05-25,1,24,74,862,47,42,True,False
26,19,1,2024-12-17,1,4,11,114,8,43,True,False
27,19,1,2024-12-02,1,4,11,114,8,44,True,False
28,21,1,2026-03-12,1,4,10,111,7,49,True,False
29,21,1,2026-03-20,1,4,10,111,7,50,True,False
30,21,2,2026-03-07,1,4,10,111,7,51,True,False
31,22,1,2026-05-23,1,4,10,102,8,52,True,False
32,22,1,2026-05-19,1,4,10,102,8,53,True,False
33,22,1,2026-05-24,1,4,10,102,8,54,True,False
34,23,2,2026-03-14,1,4,9,101,8,56,True,False
35,24,1,2025-02-04,1,8,21,230,15,57,True,False
36,24,2,2025-02-18,1,8,21,230,15,58,True,False
37,25,1,2026-04-21,1,27,84,979,54,59,True,False
38,26,1,2026-06-22,1,26,81,947,51,61,True,False
39,27,1,2026-04-23,1,4,11,117,8,63,True,False
40,28,1,2026-06-28,1,29,89,1032,57,64,True,False
41,28,1,2026-07-08,1,29,89,1032,57,66,True,False
42,29,2,2026-01-09,1,1,1,12,1,67,True,False
43,29,2,2026-01-11,1,1,1,12,1,68,True,False
44,29,1,2026-01-17,1,1,1,12,1,69,True,False
45,29,1,2026-01-17,1,1,1,12,1,70,True,False
46,30,1,2026-02-15,1,3,8,85,6,71,True,False
47,32,1,2025-01-05,1,5,12,123,9,74,True,False
48,33,1,2025-09-04,1,4,9,101,8,78,True,False
49,35,2,2024-10-30,1,4,11,120,7,82,True,False
50,36,2,2025-06-19,1,26,81,945,51,86,True,False
51,37,1,2024-12-24,1,1,1,5,1,91,True,False
52,37,1,2025-01-12,1,1,1,5,1,92,True,False
53,38,2,2026-03-06,1,4,10,107,7,94,True,False
54,38,1,2026-03-14,1,4,10,107,7,95,True,False
55,39,1,2025-10-24,1,3,6,67,5,99,True,False
56,39,1,2025-11-11,1,3,6,67,5,100,True,False
57,40,1,2026-02-16,1,1,1,5,2,101,True,False
58,40,1,2026-02-10,1,1,1,5,2,102,True,False
59,41,2,2026-05-19,1,4,9,95,7,103,True,False
60,41,1,2026-05-19,1,4,9,95,7,104,True,False
61,41,1,2026-05-23,1,4,9,95,7,105,True,False
62,42,1,2026-06-20,1,21,61,709,41,106,True,False
63,42,1,2026-05-25,1,21,61,709,41,107,True,False
64,44,1,2026-07-15,1,4,9,101,8,109,True,False
65,45,1,2024-11-24,1,16,43,504,32,110,True,False
66,45,1,2024-11-16,1,16,43,504,32,111,True,False
67,46,2,2026-04-15,1,4,11,118,8,115,True,False
68,47,1,2025-07-21,1,22,65,760,43,116,True,False
69,48,1,2026-04-26,1,4,11,115,8,117,True,False
70,49,1,2024-10-16,1,18,49,559,36,118,True,False
71,49,1,2024-10-09,1,18,49,559,36,120,True,False
72,50,1,2024-09-05,1,29,90,1044,57,122,True,False
73,50,1,2024-09-08,1,29,90,1044,57,123,True,False
74,51,1,2025-04-16,1,4,9,94,7,125,True,False
75,52,1,2025-05-20,1,30,92,1070,60,126,True,False
76,53,1,2025-05-12,1,20,58,681,40,128,True,False
77,53,1,2025-06-05,1,20,58,681,40,129,True,False
78,53,1,2025-06-03,1,20,58,681,40,130,True,True
79,54,2,2026-07-13,1,14,38,434,28,131,True,False
80,55,1,2026-07-13,1,12,32,362,23,133,True,False
81,55,2,2026-07-14,1,12,32,362,23,134,True,False
82,55,2,2026-06-14,1,12,32,362,23,135,True,False
83,56,1,2025-11-02,1,27,83,969,53,136,True,False
84,57,1,2024-09-26,1,19,56,650,38,139,True,False
85,57,1,2024-10-04,1,19,56,650,38,140,True,False
86,58,1,2026-04-19,1,4,11,118,7,144,True,False
87,59,1,2026-03-12,1,4,10,106,7,145,True,False
88,60,1,2025-04-29,1,20,57,670,39,146,True,False
89,60,1,2025-04-19,1,20,57,670,39,147,True,False
90,60,2,2025-05-09,1,20,57,670,39,148,True,False
91,61,1,2025-04-13,1,25,76,885,49,149,True,False
92,61,1,2025-03-18,1,25,76,885,49,151,True,False
93,61,1,2025-03-21,1,25,76,885,49,152,True,False
94,62,1,2026-05-10,1,4,11,117,8,153,True,False
95,62,1,2026-05-19,1,4,11,117,8,155,True,False
96,63,1,2025-11-28,1,4,9,98,8,157,True,False
97,63,2,2025-11-08,1,4,9,98,8,158,True,False
98,63,1,2025-11-14,1,4,9,98,8,159,True,False
99,64,1,2024-11-08,1,11,30,340,22,161,True,False
100,65,1,2025-04-02,1,22,65,750,43,163,True,False
101,65,2,2025-03-25,1,22,65,750,43,165,True,False
102,66,1,2025-06-22,1,24,74,862,48,167,True,True
103,67,1,2026-02-20,1,24,74,865,47,168,True,False
104,67,2,2026-02-06,1,24,74,865,47,169,True,False
105,67,1,2026-02-02,1,24,74,865,47,170,True,False
106,68,1,2026-05-31,1,25,77,902,50,172,True,False
107,69,1,2026-02-24,1,1,1,12,1,176,True,True
108,70,1,2026-01-02,1,30,92,1072,59,177,True,False
109,71,1,2024-12-15,1,30,91,1057,60,180,True,False
110,73,1,2026-03-22,1,4,10,104,7,182,True,False
111,74,2,2026-07-21,1,4,9,100,7,184,True,False
112,75,1,2026-07-10,1,4,10,111,7,185,True,False
113,75,1,2026-06-12,1,4,10,111,7,186,True,False
114,76,1,2025-02-01,1,4,11,113,8,187,True,False
115,76,2,2025-02-23,1,4,11,113,8,188,True,False
116,77,2,2026-03-18,1,2,3,35,4,192,True,False
117,78,1,2025-02-09,1,1,1,14,2,194,True,False
118,78,2,2025-01-19,1,1,1,14,2,195,True,False
119,79,1,2025-12-15,1,14,36,405,28,198,True,False
120,82,2,2025-08-20,1,23,66,770,46,202,True,False
121,82,1,2025-08-23,1,23,66,770,46,203,True,False
122,82,1,2025-08-15,1,23,66,770,46,204,True,False
123,86,2,2026-03-09,1,4,10,106,7,210,True,False
124,86,2,2026-03-07,1,4,10,106,7,211,True,False
125,87,1,2025-08-02,1,21,61,714,41,215,True,False
126,89,1,2025-03-31,1,4,11,114,8,218,True,False
127,90,1,2025-12-18,1,4,10,106,7,219,True,True
128,90,1,2025-12-09,1,4,10,106,7,222,True,False
129,91,2,2026-01-02,1,26,79,926,52,223,True,False
130,92,1,2025-10-10,1,18,50,578,35,224,True,False
131,92,1,2025-10-03,1,18,50,578,35,225,True,False
132,93,2,2026-04-17,1,4,9,97,7,226,True,False
133,93,2,2026-05-11,1,4,9,97,7,228,True,False
134,94,2,2026-05-02,1,4,10,103,7,229,True,False
135,96,2,2026-06-13,1,27,83,972,53,231,True,False
136,97,1,2025-11-16,1,10,28,314,20,233,True,True
137,98,1,2026-03-16,1,4,9,97,8,236,True,False
138,98,1,2026-03-06,1,4,9,97,8,239,True,False
139,99,1,2026-07-02,1,4,11,116,8,240,True,False
140,99,1,2026-07-07,1,4,11,116,8,241,True,False
141,100,2,2025-12-10,1,18,51,586,36,244,True,False
142,100,1,2025-11-20,1,18,51,586,36,245,True,False
143,102,2,2026-04-13,1,4,9,99,7,247,True,False
144,104,1,2025-02-03,1,19,53,618,38,252,True,False
145,104,1,2025-02-09,1,19,53,618,38,253,True,False
146,105,2,2025-03-23,1,4,10,106,8,254,True,False
147,106,1,2025-07-06,1,4,9,96,8,255,True,False
148,106,2,2025-06-14,1,4,9,96,8,256,True,False
149,106,2,2025-06-19,1,4,9,96,8,257,True,False
150,106,1,2025-07-09,1,4,9,96,8,258,True,False
151,107,1,2025-04-29,1,8,20,227,15,260,True,False
152,107,2,2025-05-12,1,8,20,227,15,261,True,False
153,108,2,2025-05-23,1,4,10,110,8,263,True,False
154,108,2,2025-05-26,1,4,10,110,8,264,True,False
155,108,2,2025-05-09,1,4,10,110,8,265,True,False
156,110,2,2025-12-18,1,23,67,777,45,269,True,False
157,110,2,2025-12-17,1,23,67,777,45,270,True,False
158,111,1,2026-04-27,1,23,67,778,45,271,True,False
159,112,2,2026-04-09,1,4,9,94,7,272,True,False
160,112,2,2026-03-30,1,4,9,94,7,274,True,False
161,115,2,2026-02-07,1,4,10,108,8,278,True,False
162,118,1,2026-05-03,1,7,19,209,13,284,True,False
163,118,1,2026-05-10,1,7,19,209,13,285,True,False
164,120,1,2026-06-13,1,24,74,860,47,290,True,False
165,120,1,2026-06-01,1,24,74,860,47,292,True,False
166,121,1,2025-04-25,1,13,34,387,26,293,True,False
167,121,1,2025-04-18,1,13,34,387,26,294,True,False
168,122,1,2025-08-12,1,1,2,17,1,295,True,False
169,122,1,2025-08-01,1,1,2,17,1,296,True,False
170,122,1,2025-07-29,1,1,2,17,1,297,True,False
171,123,2,2026-07-03,1,5,13,140,9,298,True,False
172,123,1,2026-07-12,1,5,13,140,9,299,True,True
173,123,1,2026-06-16,1,5,13,140,9,300,True,False
174,123,2,2026-06-29,1,5,13,140,9,301,True,False
175,124,1,2026-06-13,1,4,10,102,8,302,True,False
176,127,1,2026-03-26,1,3,8,90,6,309,True,False
177,127,1,2026-03-03,1,3,8,90,6,310,True,False
178,128,1,2024-11-14,1,5,13,138,10,312,True,False
179,129,1,2025-12-25,1,1,2,19,2,314,True,False
180,130,1,2026-05-27,1,4,10,105,8,316,True,False
