CSID,CaseMasterID,csdate,cstype,PolicePersonID
1,3,2026-02-27T14:40:24.173291,A,100
2,7,2025-10-01T14:40:24.173895,B,723
3,11,2024-10-05T14:40:24.174285,C,105
4,12,2025-08-21T14:40:24.174395,A,444
5,14,2025-10-01T14:40:24.174621,A,213
6,15,2025-05-01T14:40:24.174775,A,154
7,20,2026-04-19T14:40:24.175295,C,22
8,21,2026-07-19T14:40:24.175371,C,111
9,23,2026-04-26T14:40:24.175630,C,101
10,24,2025-03-20T14:40:24.175722,B,230
11,25,2026-09-14T14:40:24.175821,A,979
12,26,2026-09-27T14:40:24.175955,A,947
13,29,2026-02-25T14:40:24.176294,A,12
14,31,2025-03-22T14:40:24.176500,B,450
15,32,2025-02-15T14:40:24.176625,A,123
16,33,2026-02-06T14:40:24.176736,A,101
17,34,2026-09-30T14:40:24.176835,A,79
18,35,2025-03-03T14:40:24.176900,B,120
19,37,2025-05-04T14:40:24.177111,A,5
20,38,2026-08-04T14:40:24.177230,C,107
21,42,2026-09-24T14:40:24.177662,C,709
22,43,2026-08-05T14:40:24.177755,C,366
23,46,2026-08-06T14:40:24.178019,A,118
24,48,2026-09-16T14:40:24.178186,C,115
25,50,2025-01-19T14:40:24.178366,A,1044
26,51,2025-08-24T14:40:24.178476,A,94
27,58,2026-06-21T14:40:24.179207,B,118
28,59,2026-04-26T14:40:24.179363,A,106
29,60,2025-10-11T14:40:24.179438,A,670
30,61,2025-08-07T14:40:24.179579,A,885
31,63,2026-01-27T14:40:24.179946,A,98
32,64,2025-02-23T14:40:24.180056,A,340
33,65,2025-09-07T14:40:24.180151,A,750
34,66,2025-09-27T14:40:24.180252,A,862
35,67,2026-05-12T14:40:24.180320,A,865
36,68,2026-06-12T14:40:24.180445,A,902
37,69,2026-03-31T14:40:24.180512,A,12
38,70,2026-06-02T14:40:24.180656,A,1072
39,74,2026-10-24T14:40:24.181214,B,100
40,75,2026-10-16T14:40:24.181299,A,111
41,76,2025-04-09T14:40:24.181389,A,113
42,77,2026-05-10T14:40:24.181516,B,35
43,78,2025-06-16T14:40:24.181726,A,14
44,80,2025-04-18T14:40:24.181959,B,59
45,82,2025-10-13T14:40:24.182131,C,770
46,84,2026-08-02T14:40:24.182399,C,108
47,85,2026-02-27T14:40:24.182482,A,62
48,89,2025-06-19T14:40:24.182940,C,114
49,90,2026-03-29T14:40:24.183028,A,106
50,93,2026-06-30T14:40:24.183362,C,97
51,94,2026-09-04T14:40:24.183481,A,103
52,95,2026-08-05T14:40:24.183641,B,190
53,97,2025-12-23T14:40:24.183821,B,314
54,98,2026-07-03T14:40:24.184000,A,97
55,101,2026-06-13T14:40:24.184383,A,306
56,102,2026-09-06T14:40:24.184478,A,99
57,103,2025-11-03T14:40:24.184632,A,16
58,104,2025-03-18T14:40:24.184734,A,618
59,105,2025-09-05T14:40:24.184825,A,106
60,106,2025-11-07T14:40:24.184906,A,96
61,107,2025-09-02T14:40:24.185036,A,227
62,108,2025-09-14T14:40:24.185159,A,110
63,109,2026-09-12T14:40:24.185301,A,450
64,113,2026-08-04T14:40:24.185744,C,229
65,114,2026-04-01T14:40:24.185833,A,105
66,119,2026-09-01T14:40:24.186411,A,540
67,120,2026-09-29T14:40:24.186506,A,860
68,122,2025-12-04T14:40:24.186779,A,17
69,126,2024-11-16T14:40:24.187377,B,686
70,130,2026-09-03T14:40:24.188004,A,105
71,132,2024-11-03T14:40:24.188280,A,432
72,136,2026-03-10T14:40:24.188805,C,7
73,138,2026-04-06T14:40:24.189065,C,977
74,141,2026-05-14T14:40:24.189520,B,101
75,143,2026-08-28T14:40:24.189818,C,120
76,148,2026-09-23T14:40:24.190456,C,104
77,150,2026-05-07T14:40:24.190747,A,466
78,153,2026-05-04T14:40:24.191140,A,95
79,157,2025-12-16T14:40:24.191519,B,111
80,158,2025-08-27T14:40:24.191671,A,105
81,159,2025-01-22T14:40:24.191781,C,94
82,160,2024-10-11T14:40:24.191937,A,607
83,161,2025-02-17T14:40:24.192064,B,356
84,162,2025-11-10T14:40:24.192159,A,1037
85,163,2025-10-19T14:40:24.192274,B,119
86,165,2026-05-18T14:40:24.192463,A,822
87,166,2026-06-30T14:40:24.192627,C,647
88,167,2025-11-21T14:40:24.192774,A,116
89,168,2025-12-04T14:40:24.192884,C,102
90,170,2025-07-10T14:40:24.193097,C,644
91,175,2024-10-29T14:40:24.193678,A,242
92,176,2025-03-22T14:40:24.193775,C,1034
93,177,2026-04-24T14:40:24.193877,A,17
94,178,2026-07-10T14:40:24.193964,B,44
95,179,2026-06-15T14:40:24.194076,B,328
96,180,2025-10-02T14:40:24.194164,A,117
97,182,2024-12-04T14:40:24.194414,A,734
98,185,2024-12-26T14:40:24.194798,A,1066
99,188,2026-03-18T14:40:24.194994,A,75
100,189,2025-02-17T14:40:24.195105,A,106
101,192,2025-10-02T14:40:24.195387,C,1024
102,193,2025-03-07T14:40:24.195513,C,645
103,194,2025-01-02T14:40:24.195652,C,119
104,196,2024-09-16T14:40:24.195941,B,801
105,198,2026-04-27T14:40:24.196143,A,116
106,199,2026-06-13T14:40:24.196267,A,109
107,200,2025-12-13T14:40:24.196366,C,182
108,201,2025-10-23T14:40:24.196476,C,693
109,202,2026-09-13T14:40:24.196628,C,989
110,203,2025-11-18T14:40:24.196731,B,281
111,206,2025-04-08T14:40:24.197029,B,445
112,207,2026-12-10T14:40:24.197141,A,100
113,208,2026-07-03T14:40:24.197253,A,81
114,211,2024-10-19T14:40:24.197530,A,222
115,213,2026-04-10T14:40:24.197828,C,296
116,214,2026-07-31T14:40:24.197957,B,358
117,215,2025-01-14T14:40:24.198027,B,215
118,216,2025-06-15T14:40:24.198126,C,261
119,218,2026-03-19T14:40:24.198384,C,339
120,220,2026-06-12T14:40:24.198619,A,88
121,221,2026-07-20T14:40:24.198734,A,758
122,222,2025-01-11T14:40:24.198851,A,114
123,224,2025-03-24T14:40:24.199045,A,735
124,225,2026-03-20T14:40:24.199163,A,890
125,226,2026-06-10T14:40:24.199285,C,1
126,231,2026-06-13T14:40:24.199877,A,627
127,235,2026-08-19T14:40:24.200304,B,115
128,236,2026-01-31T14:40:24.200379,C,57
129,237,2026-10-29T14:40:24.200474,A,17
130,238,2025-04-27T14:40:24.200702,C,843
131,241,2026-03-30T14:40:24.201177,C,236
132,242,2024-08-17T14:40:24.201308,A,285
