CourtID,CourtName,DistrictID,StateID,Active
1,"Sessions Court, Bengaluru Urban",1,1,True
2,"JMFC Court, Bengaluru Urban",1,1,True
3,"Sessions Court, Bengaluru Rural",2,1,True
4,"JMFC Court, Bengaluru Rural",2,1,True
5,"Sessions Court, Mysuru",3,1,True
6,"JMFC Court, Mysuru",3,1,True
7,"Sessions Court, Belagavi",4,1,True
8,"JMFC Court, Belagavi",4,1,True
9,"Sessions Court, Ballari",5,1,True
10,"JMFC Court, Ballari",5,1,True
11,"Sessions Court, Vijayapura",6,1,True
12,"JMFC Court, Vijayapura",6,1,True
13,"Sessions Court, Tumakuru",7,1,True
14,"JMFC Court, Tumakuru",7,1,True
15,"Sessions Court, Shivamogga",8,1,True
16,"JMFC Court, Shivamogga",8,1,True
17,"Sessions Court, Dakshina Kannada",9,1,True
18,"JMFC Court, Dakshina Kannada",9,1,True
19,"Sessions Court, Kalaburagi",10,1,True
20,"JMFC Court, Kalaburagi",10,1,True
21,"Sessions Court, Dharwad",11,1,True
22,"JMFC Court, Dharwad",11,1,True
23,"Sessions Court, Hassan",12,1,True
24,"JMFC Court, Hassan",12,1,True
25,"Sessions Court, Mandya",13,1,True
26,"JMFC Court, Mandya",13,1,True
27,"Sessions Court, Chikkamagaluru",14,1,True
28,"JMFC Court, Chikkamagaluru",14,1,True
29,"Sessions Court, Udupi",15,1,True
30,"JMFC Court, Udupi",15,1,True
31,"Sessions Court, Raichur",16,1,True
32,"JMFC Court, Raichur",16,1,True
33,"Sessions Court, Bidar",17,1,True
34,"JMFC Court, Bidar",17,1,True
35,"Sessions Court, Kolar",18,1,True
36,"JMFC Court, Kolar",18,1,True
37,"Sessions Court, Chitradurga",19,1,True
38,"JMFC Court, Chitradurga",19,1,True
39,"Sessions Court, Davanagere",20,1,True
40,"JMFC Court, Davanagere",20,1,True
41,"Sessions Court, Haveri",21,1,True
42,"JMFC Court, Haveri",21,1,True
43,"Sessions Court, Gadag",22,1,True
44,"JMFC Court, Gadag",22,1,True
45,"Sessions Court, Koppal",23,1,True
46,"JMFC Court, Koppal",23,1,True
47,"Sessions Court, Bagalkote",24,1,True
48,"JMFC Court, Bagalkote",24,1,True
49,"Sessions Court, Chikkaballapura",25,1,True
50,"JMFC Court, Chikkaballapura",25,1,True
51,"Sessions Court, Chamarajanagara",26,1,True
52,"JMFC Court, Chamarajanagara",26,1,True
53,"Sessions Court, Kodagu",27,1,True
54,"JMFC Court, Kodagu",27,1,True
55,"Sessions Court, Ramanagara",28,1,True
56,"JMFC Court, Ramanagara",28,1,True
57,"Sessions Court, Yadgir",29,1,True
58,"JMFC Court, Yadgir",29,1,True
59,"Sessions Court, Vijayanagara",30,1,True
60,"JMFC Court, Vijayanagara",30,1,True
