CrimeSubHeadID,CrimeHeadID,CrimeHeadName,SeqID
1,1,Murder,1
2,1,Attempt to Murder,2
3,1,Grievous Hurt,3
4,1,Kidnapping,4
5,1,Assault,5
6,1,Culpable Homicide,6
7,2,Theft,1
8,2,Robbery,2
9,2,Dacoity,3
10,2,Burglary,4
11,2,Vehicle Theft,5
12,2,Criminal Breach of Trust,6
13,2,Cheating,7
14,3,Dowry Harassment,1
15,3,Molestation,2
16,3,Domestic Violence,3
17,3,Sexual Harassment,4
18,3,Cruelty by Husband/Relatives,5
19,4,Online Financial Fraud,1
20,4,Identity Theft,2
21,4,Cyberstalking,3
22,4,Social Media Impersonation,4
23,4,OTP Fraud,5
24,5,Possession,1
25,5,Trafficking,2
26,5,Cultivation,3
27,6,Rioting,1
28,6,Unlawful Assembly,2
29,6,Public Nuisance,3
