CaseMasterID,OccuranceFrom,OccuranceTo,PlaceOfOccurance
1,2026-06-09T08:40:24.172954,2026-06-11T14:40:24.172954,"Raju Nagar, Belagavi"
2,2025-05-12T19:40:24.173183,2025-05-14T14:40:24.173183,"Krishnan Ganj, Chamarajanagara"
3,2025-11-09T12:40:24.173291,2025-11-10T14:40:24.173291,"Verma Road, Belagavi"
4,2025-12-08T03:40:24.173416,2025-12-09T14:40:24.173416,"Doctor Ganj, Bengaluru Urban"
5,2025-08-03T02:40:24.173575,2025-08-05T14:40:24.173575,"Warrior Ganj, Belagavi"
6,2025-01-10T12:40:24.173770,2025-01-12T14:40:24.173770,"Chakraborty Path, Mysuru"
7,2025-07-24T06:40:24.173895,2025-07-24T14:40:24.173895,"Tella Ganj, Haveri"
8,2026-02-23T20:40:24.173981,2026-02-24T14:40:24.173981,"Rout Path, Belagavi"
9,2025-06-29T02:40:24.174065,2025-06-29T14:40:24.174065,"Agrawal Nagar, Bengaluru Urban"
10,2026-02-25T18:40:24.174205,2026-02-26T14:40:24.174205,"Rajagopal Chowk, Koppal"
11,2024-09-02T23:40:24.174285,2024-09-03T14:40:24.174285,"Kothari Nagar, Belagavi"
12,2025-05-16T09:40:24.174395,2025-05-16T14:40:24.174395,"Saraf Path, Udupi"
13,2026-03-06T05:40:24.174501,2026-03-08T14:40:24.174501,"Thaman Nagar, Belagavi"
14,2025-04-19T00:40:24.174621,2025-04-21T14:40:24.174621,"Bava Nagar, Tumakuru"
15,2025-01-08T11:40:24.174775,2025-01-08T14:40:24.174775,"Dalal, Ballari"
16,2025-12-04T16:40:24.174878,2025-12-05T14:40:24.174878,"Merchant Marg, Mysuru"
17,2024-10-06T01:40:24.174991,2024-10-08T14:40:24.174991,"Chaudhuri Zila, Bagalkote"
18,2026-04-26T15:40:24.175094,2026-04-27T14:40:24.175094,"Bath Zila, Bagalkote"
19,2024-11-25T01:40:24.175176,2024-11-27T14:40:24.175176,"Loyal, Belagavi"
20,2026-02-20T13:40:24.175295,2026-02-20T14:40:24.175295,"Subramanian Marg, Bengaluru Urban"
21,2026-02-15T16:40:24.175371,2026-02-18T14:40:24.175371,"Sura Chowk, Belagavi"
22,2026-05-11T20:40:24.175492,2026-05-13T14:40:24.175492,"Bhagat Street, Belagavi"
23,2026-03-03T16:40:24.175630,2026-03-06T14:40:24.175630,"Tripathi Nagar, Belagavi"
24,2025-02-01T19:40:24.175722,2025-02-02T14:40:24.175722,"Tank Zila, Shivamogga"
25,2026-04-11T20:40:24.175821,2026-04-12T14:40:24.175821,"Jhaveri Circle, Kodagu"
26,2026-06-10T00:40:24.175955,2026-06-12T14:40:24.175955,"Comar Chowk, Chamarajanagara"
27,2026-04-02T18:40:24.176061,2026-04-04T14:40:24.176061,"Hayre, Belagavi"
28,2026-06-11T11:40:24.176152,2026-06-12T14:40:24.176152,"Chokshi Path, Yadgir"
29,2025-12-25T01:40:24.176294,2025-12-27T14:40:24.176294,"Ram Zila, Bengaluru Urban"
30,2026-01-17T22:40:24.176422,2026-01-20T14:40:24.176422,"Murthy Circle, Mysuru"
31,2024-10-27T19:40:24.176500,2024-10-30T14:40:24.176500,"Pandey Zila, Udupi"
32,2024-12-17T23:40:24.176625,2024-12-18T14:40:24.176625,"Bera Street, Ballari"
33,2025-08-12T11:40:24.176736,2025-08-12T14:40:24.176736,"Ramachandran Circle, Belagavi"
34,2026-05-02T23:40:24.176835,2026-05-04T14:40:24.176835,"Pillai Ganj, Mysuru"
35,2024-10-19T18:40:24.176900,2024-10-20T14:40:24.176900,"Ghose Street, Belagavi"
36,2025-05-28T18:40:24.177008,2025-05-31T14:40:24.177008,"Parmar Chowk, Chamarajanagara"
37,2024-12-21T05:40:24.177111,2024-12-23T14:40:24.177111,"Narula Path, Bengaluru Urban"
38,2026-02-27T21:40:24.177230,2026-03-01T14:40:24.177230,"Prasad Circle, Belagavi"
39,2025-10-11T01:40:24.177323,2025-10-12T14:40:24.177323,"Samra Ganj, Mysuru"
40,2026-01-18T04:40:24.177436,2026-01-19T14:40:24.177436,"Rama Marg, Bengaluru Urban"
41,2026-04-29T10:40:24.177579,2026-04-30T14:40:24.177579,"Chadha, Belagavi"
42,2026-05-23T02:40:24.177662,2026-05-23T14:40:24.177662,"Walla Street, Haveri"
43,2026-04-04T18:40:24.177755,2026-04-07T14:40:24.177755,"Ramesh, Hassan"
44,2026-06-23T23:40:24.177852,2026-06-25T14:40:24.177852,"Golla Zila, Belagavi"
45,2024-10-31T11:40:24.177923,2024-11-02T14:40:24.177923,"Hora Zila, Raichur"
46,2026-03-20T15:40:24.178019,2026-03-23T14:40:24.178019,"Mohan Path, Belagavi"
47,2025-07-07T12:40:24.178116,2025-07-08T14:40:24.178116,"Sehgal Chowk, Gadag"
48,2026-04-09T20:40:24.178186,2026-04-12T14:40:24.178186,"Dey Road, Belagavi"
49,2024-09-17T13:40:24.178250,2024-09-17T14:40:24.178250,"Ravel Nagar, Kolar"
50,2024-08-12T19:40:24.178366,2024-08-13T14:40:24.178366,"Dey Circle, Yadgir"
51,2025-04-07T20:40:24.178476,2025-04-08T14:40:24.178476,"Vasa Ganj, Belagavi"
52,2025-05-08T18:40:24.178611,2025-05-11T14:40:24.178611,"Lall Road, Vijayanagara"
53,2025-05-06T05:40:24.178686,2025-05-06T14:40:24.178686,"Puri Road, Davanagere"
54,2026-06-20T20:40:24.178810,2026-06-22T14:40:24.178810,"Dugar Street, Chikkamagaluru"
55,2026-06-12T13:40:24.178891,2026-06-14T14:40:24.178891,"Edwin Ganj, Hassan"
56,2025-10-28T08:40:24.179013,2025-10-28T14:40:24.179013,"Sinha, Kodagu"
57,2024-09-13T13:40:24.179115,2024-09-15T14:40:24.179115,"Babu Zila, Chitradurga"
58,2026-03-20T05:40:24.179207,2026-03-20T14:40:24.179207,"Zacharia Street, Belagavi"
59,2026-03-09T19:40:24.179363,2026-03-11T14:40:24.179363,"Rege Road, Belagavi"
