ActCode,SectionCode,SectionDescription,Active
IPC,302,Indian Penal Code Section 302,True
IPC,307,Indian Penal Code Section 307,True
IPC,323,Indian Penal Code Section 323,True
IPC,379,Indian Penal Code Section 379,True
IPC,392,Indian Penal Code Section 392,True
IPC,420,Indian Penal Code Section 420,True
IPC,354,Indian Penal Code Section 354,True
IPC,376,Indian Penal Code Section 376,True
IPC,411,Indian Penal Code Section 411,True
IPC,34,Indian Penal Code Section 34,True
IPC,120B,Indian Penal Code Section 120B,True
NDPS,8,Narcotic Drugs and Psychotropic Substances Act Section 8,True
NDPS,20,Narcotic Drugs and Psychotropic Substances Act Section 20,True
NDPS,21,Narcotic Drugs and Psychotropic Substances Act Section 21,True
NDPS,22,Narcotic Drugs and Psychotropic Substances Act Section 22,True
MV,184,Motor Vehicles Act Section 184,True
MV,196,Motor Vehicles Act Section 196,True
MV,177,Motor Vehicles Act Section 177,True
IT,66C,Information Technology Act Section 66C,True
IT,66D,Information Technology Act Section 66D,True
IT,67,Information Technology Act Section 67,True
POCSO,4,Protection of Children from Sexual Offences Act Section 4,True
POCSO,6,Protection of Children from Sexual Offences Act Section 6,True
POCSO,8,Protection of Children from Sexual Offences Act Section 8,True
DP,3,Dowry Prohibition Act Section 3,True
DP,4,Dowry Prohibition Act Section 4,True
