ID,ArrestSurrenderID,AccusedMasterID
1,1,2
2,2,3
3,3,6
4,4,12
5,5,15
6,6,16
7,7,17
8,8,19
9,9,20
10,10,21
11,11,22
12,12,24
13,13,27
14,14,28
15,15,29
16,16,31
17,17,32
18,18,33
19,19,34
20,20,35
21,21,36
22,22,38
23,23,39
24,24,40
25,25,42
26,26,43
27,27,44
28,28,49
29,29,50
30,30,51
31,31,52
32,32,53
33,33,54
34,34,56
35,35,57
36,36,58
37,37,59
38,38,61
39,39,63
40,40,64
41,41,66
42,42,67
43,43,68
44,44,69
45,45,70
46,46,71
47,47,74
48,48,78
49,49,82
50,50,86
51,51,91
52,52,92
53,53,94
54,54,95
55,55,99
56,56,100
57,57,101
58,58,102
59,59,103
60,60,104
61,61,105
62,62,106
63,63,107
64,64,109
65,65,110
66,66,111
67,67,115
68,68,116
69,69,117
70,70,118
71,71,120
72,72,122
73,73,123
74,74,125
75,75,126
76,76,128
77,77,129
78,78,130
79,79,131
80,80,133
81,81,134
82,82,135
83,83,136
84,84,139
85,85,140
86,86,144
87,87,145
88,88,146
89,89,147
90,90,148
91,91,149
92,92,151
93,93,152
94,94,153
95,95,155
96,96,157
97,97,158
98,98,159
99,99,161
100,100,163
101,101,165
102,102,167
103,103,168
104,104,169
105,105,170
106,106,172
107,107,176
108,108,177
109,109,180
110,110,182
111,111,184
112,112,185
113,113,186
114,114,187
115,115,188
116,116,192
117,117,194
118,118,195
119,119,198
120,120,202
121,121,203
122,122,204
123,123,210
124,124,211
125,125,215
126,126,218
127,127,219
128,128,222
129,129,223
130,130,224
131,131,225
132,132,226
133,133,228
134,134,229
135,135,231
136,136,233
137,137,236
138,138,239
139,139,240
140,140,241
141,141,244
142,142,245
143,143,247
144,144,252
145,145,253
146,146,254
147,147,255
148,148,256
149,149,257
150,150,258
151,151,260
152,152,261
153,153,263
154,154,264
155,155,265
156,156,269
157,157,270
158,158,271
159,159,272
160,160,274
161,161,278
162,162,284
163,163,285
164,164,290
165,165,292
166,166,293
167,167,294
168,168,295
169,169,296
170,170,297
171,171,298
172,172,299
173,173,300
174,174,301
175,175,302
176,176,309
177,177,310
178,178,312
179,179,314
180,180,316
181,181,317
182,182,318
183,183,319
184,184,321
185,185,327
186,186,328
187,187,330
188,188,331
189,189,332
190,190,337
191,191,340
192,192,341
193,193,348
194,194,349
195,195,350
196,196,351
197,197,354
198,198,355
199,199,356
200,200,357
201,201,358
202,202,359
203,203,360
204,204,362
205,205,366
206,206,367
207,207,370
208,208,372
209,209,373
210,210,374
211,211,375
212,212,376
213,213,377
214,214,379
215,215,380
216,216,381
217,217,382
218,218,383
219,219,385
220,220,387
221,221,388
222,222,391
223,223,394
224,224,395
225,225,398
226,226,399
227,227,402
228,228,403
229,229,404
230,230,405
231,231,406
232,232,407
233,233,409
234,234,411
235,235,412
236,236,413
237,237,417
238,238,418
239,239,419
240,240,421
241,241,422
242,242,424
243,243,427
244,244,428
245,245,429
246,246,431
247,247,433
248,248,434
249,249,435
250,250,437
251,251,440
252,252,441
253,253,442
254,254,443
255,255,446
256,256,447
257,257,448
258,258,449
259,259,450
260,260,451
261,261,454
262,262,455
263,263,456
264,264,458
265,265,459
266,266,462
267,267,463
268,268,464
269,269,466
270,270,469
271,271,470
272,272,472
273,273,473
274,274,474
275,275,475
276,276,476
277,277,477
278,278,479
279,279,481
280,280,482
281,281,483
282,282,484
283,283,485
284,284,487
285,285,488
286,286,489
287,287,490
288,288,493
289,289,494
290,290,496
291,291,497
292,292,499
293,293,500
294,294,501
295,295,502
296,296,503
297,297,504
298,298,507
299,299,508
300,300,510
301,301,511
302,302,513
303,303,515
304,304,516
305,305,517
306,306,518
307,307,519
308,308,520
309,309,522
310,310,524
311,311,525
312,312,527
313,313,529
314,314,530
315,315,531
316,316,533
317,317,534
318,318,535
319,319,537
320,320,538
321,321,541
322,322,542
323,323,543
324,324,544
325,325,547
326,326,548
327,327,549
328,328,550
329,329,553
330,330,554
331,331,555
332,332,556
333,333,559
334,334,560
335,335,561
336,336,562
337,337,565
338,338,566
339,339,567
340,340,571
341,341,572
342,342,575
343,343,576
344,344,579
345,345,580
346,346,581
347,347,582
348,348,583
349,349,585
350,350,586
351,351,587
352,352,588
353,353,589
354,354,590
355,355,591
356,356,593
357,357,594
358,358,595
359,359,596
360,360,598
361,361,599
362,362,600
363,363,601
364,364,602
365,365,603
366,366,605
367,367,607
368,368,609
369,369,611
370,370,618
371,371,620
372,372,621
373,373,624
374,374,626
375,375,627
376,376,629
377,377,630
378,378,633
379,379,636
380,380,637
381,381,639
382,382,641
383,383,645
384,384,648
385,385,649
386,386,650
387,387,652
388,388,653
389,389,654
390,390,656
391,391,658
392,392,660
393,393,661
394,394,662
395,395,664
396,396,665
397,397,667
398,398,670
399,399,674
400,400,675
401,401,676
402,402,677
403,403,678
404,404,680
405,405,681
406,406,682
407,407,687
408,408,691
409,409,696
410,410,698
411,411,700
412,412,701
413,413,702
414,414,703
415,415,704
416,416,705
417,417,706
418,418,707
419,419,709
420,420,710
421,421,714
422,422,717
423,423,718
424,424,719
425,425,722
426,426,724
427,427,727
428,428,728
429,429,734
430,430,735
431,431,736
432,432,738
433,433,739
434,434,740
435,435,741
436,436,742
437,437,744
438,438,747
439,439,748
440,440,751
441,441,752
442,442,753
443,443,754
444,444,756
445,445,757
446,446,760
447,447,761
448,448,762
449,449,763
450,450,764
451,451,766
452,452,767
453,453,769
454,454,770
455,455,771
456,456,773
457,457,774
458,458,777
459,459,779
460,460,780
461,461,781
462,462,783
463,463,784
464,464,785
465,465,786
466,466,787
467,467,788
468,468,794
469,469,795
470,470,796
471,471,797
472,472,798
473,473,799
474,474,803
475,475,804
476,476,805
477,477,807
478,478,808
479,479,809
480,480,810
481,481,812
482,482,813
483,483,814
484,484,819
485,485,821
486,486,823
487,487,824
488,488,826
489,489,829
490,490,832
491,491,833
492,492,836
493,493,839
494,494,844
495,495,847
496,496,848
497,497,849
498,498,852
499,499,853
500,500,854
501,501,855
502,502,857
503,503,859
504,504,861
505,505,862
506,506,863
507,507,866
508,508,869
509,509,870
510,510,873
511,511,874
512,512,878
513,513,879
514,514,880
515,515,883
516,516,884
517,517,886
518,518,887
519,519,888
520,520,889
521,521,890
522,522,891
523,523,894
524,524,895
525,525,898
526,526,899
527,527,900
528,528,902
529,529,903
530,530,904
531,531,905
532,532,906
533,533,907
534,534,908
535,535,909
536,536,914
537,537,916
538,538,917
539,539,919
540,540,922
541,541,924
542,542,926
543,543,927
544,544,928
545,545,929
546,546,930
547,547,932
548,548,933
549,549,934
550,550,939
551,551,940
552,552,941
553,553,943
554,554,944
555,555,945
556,556,946
557,557,948
558,558,949
559,559,951
560,560,953
561,561,954
562,562,959
563,563,960
564,564,962
565,565,963
566,566,965
567,567,967
568,568,968
569,569,969
570,570,971
571,571,972
572,572,974
573,573,975
574,574,976
575,575,978
576,576,979
577,577,980
578,578,985
579,579,987
580,580,988
581,581,990
582,582,993
583,583,994
584,584,997
585,585,998
586,586,999
587,587,1000
588,588,1002
589,589,1009
590,590,1014
591,591,1015
592,592,1016
593,593,1019
594,594,1020
595,595,1022
596,596,1023
597,597,1024
598,598,1025
599,599,1028
600,600,1029
601,601,1030
602,602,1032
603,603,1034
604,604,1035
605,605,1037
606,606,1040
607,607,1044
608,608,1045
609,609,1046
610,610,1050
611,611,1051
612,612,1054
613,613,1055
614,614,1056
615,615,1057
616,616,1060
617,617,1063
618,618,1064
619,619,1067
620,620,1070
621,621,1072
622,622,1073
623,623,1075
624,624,1076
625,625,1078
626,626,1079
627,627,1080
628,628,1081
629,629,1082
630,630,1084
631,631,1085
632,632,1087
633,633,1088
634,634,1089
635,635,1092
636,636,1093
637,637,1094
638,638,1095
639,639,1099
640,640,1100
641,641,1105
642,642,1106
643,643,1108
644,644,1109
645,645,1110
646,646,1111
647,647,1114
648,648,1117
649,649,1120
650,650,1122
651,651,1124
652,652,1126
653,653,1128
654,654,1129
655,655,1132
656,656,1134
657,657,1135
658,658,1136
659,659,1137
660,660,1138
661,661,1141
662,662,1142
663,663,1147
664,664,1148
665,665,1150
666,666,1152
667,667,1153
668,668,1154
669,669,1155
670,670,1156
671,671,1158
672,672,1159
673,673,1160
674,674,1163
675,675,1164
676,676,1166
677,677,1167
678,678,1168
679,679,1169
680,680,1170
681,681,1171
682,682,1175
683,683,1177
684,684,1178
685,685,1183
686,686,1187
687,687,1189
688,688,1190
689,689,1192
690,690,1194
691,691,1195
692,692,1197
693,693,1198
694,694,1199
695,695,1203
696,696,1204
697,697,1205
698,698,1206
699,699,1210
700,700,1211
701,701,1213
702,702,1216
703,703,1218
704,704,1219
705,705,1222
706,706,1225
707,707,1226
708,708,1227
709,709,1230
710,710,1231
711,711,1232
712,712,1233
713,713,1234
714,714,1237
715,715,1238
716,716,1242
717,717,1243
718,718,1245
719,719,1246
720,720,1247
721,721,1248
722,722,1249
723,723,1250
724,724,1253
725,725,1254
726,726,1257
727,727,1258
728,728,1259
729,729,1260
730,730,1262
731,731,1264
732,732,1267
733,733,1269
734,734,1274
735,735,1275
736,736,1276
737,737,1278
