Sl,Station Code,Station,Unit,DCP,ACP
1,1644001,CONTROL ROOM BENGALURU Police Station,Bangalore City,CENTRAL DIVISION,Law & Order
2,1644002,CYBER CRIME Police Station,Bangalore City,CENTRAL DIVISION,CEN (Cyber/Narcotics)
3,1644003,CENTRAL CONTROL ROOM Police Station,Bangalore City,CENTRAL DIVISION,Law & Order
4,1644004,SESHADRIPURAM Police Station,Bangalore City,SESHADRIPURAM SUB-DIVISION,Law & Order
5,1644005,HIGH GROUND Police Station,Bangalore City,SESHADRIPURAM SUB-DIVISION,Law & Order
6,1644006,VYALIKAVAL Police Station,Bangalore City,SESHADRIPURAM SUB-DIVISION,Law & Order
7,1644007,SADASHIVA NAGAR Police Station,Bangalore City,SESHADRIPURAM SUB-DIVISION,Law & Order
8,1644008,CUBBON PARK Police Station,Bangalore City,CUBBON PARK SUB-DIVISION,Law & Order
9,1644009,ASHOKNAGAR Police Station,Bangalore City,CUBBON PARK SUB-DIVISION,Law & Order
10,1644010,VIVEKNAGAR Police Station,Bangalore City,CUBBON PARK SUB-DIVISION,Law & Order
11,1644011,VIDHANA SOUDHA Police Station,Bangalore City,CUBBON PARK SUB-DIVISION,Law & Order
12,1644012,HALASOOR GATE Police Station,Bangalore City,HALASOOR GATE SUB-DIVISION,Law & Order
13,1644013,WILSON GARDEN Police Station,Bangalore City,HALASOOR GATE SUB-DIVISION,Law & Order
14,1644014,S.R NAGAR Police Station,Bangalore City,HALASOOR GATE SUB-DIVISION,Law & Order
15,1644015,S.J PARK Police Station,Bangalore City,HALASOOR GATE SUB-DIVISION,Law & Order
16,1644016,CEN  (CYBER ECONOMIC NARCOTICS Police Station,Bangalore City,HALASOOR GATE SUB-DIVISION,CEN (Cyber/Narcotics)
17,1644017,L.H Police Station,Bangalore City,HALASOOR GATE SUB-DIVISION,Law & Order
18,1644018,H/C SEC Police Station,Bangalore City,HALASOOR GATE SUB-DIVISION,Law & Order
19,1644019,CEN  (CYBER ECONOMIC Police Station,Bangalore City,EAST DIVISION,CEN (Cyber/Narcotics)
20,1644020,EAST CONTROL ROOM Police Station,Bangalore City,EAST DIVISION,Law & Order
21,1644021,HALASOOR Police Station,Bangalore City,HALASOOR SUB-DIVISION,Law & Order
22,1644022,INDIRANAGAR Police Station,Bangalore City,HALASOOR SUB-DIVISION,Law & Order
23,1644023,BYAPPANAHALLI Police Station,Bangalore City,HALASOOR SUB-DIVISION,Law & Order
24,1644024,J.B.NAGAR Police Station,Bangalore City,HALASOOR SUB-DIVISION,Law & Order
25,1644025,BHARATHINAGAR Police Station,Bangalore City,PULAKESHINAGAR  SUB-DIVISION,Law & Order
26,1644026,PULAKESHINAGAR Police Station,Bangalore City,PULAKESHINAGAR  SUB-DIVISION,Law & Order
27,1644027,SHIVAJINAGAR Police Station,Bangalore City,PULAKESHINAGAR  SUB-DIVISION,Law & Order
28,1644028,CEN  (CYBER ECONOMIC Police Station,Bangalore City,PULAKESHINAGAR  SUB-DIVISION,CEN (Cyber/Narcotics)
29,1644029,NARCOTIC) SHIVAJINAGAR Police Station,Bangalore City,PULAKESHINAGAR  SUB-DIVISION,CEN (Cyber/Narcotics)
30,1644030,COMMERCIAL STREET Police Station,Bangalore City,PULAKESHINAGAR  SUB-DIVISION,Law & Order
31,1644031,SHIVAJINAGAR  WOMEM Police Station,Bangalore City,PULAKESHINAGAR  SUB-DIVISION,Law & Order
32,1644032,K.G.HALLI Police Station,Bangalore City,BANASWADI SUB-DIVISION,Law & Order
33,1644033,RAMAMURTHY NAGAR Police Station,Bangalore City,BANASWADI SUB-DIVISION,Law & Order
34,1644034,HENNURU Police Station,Bangalore City,BANASWADI SUB-DIVISION,Law & Order
35,1644035,BANASWADI Police Station,Bangalore City,BANASWADI SUB-DIVISION,Law & Order
36,1644036,D.J.HALLI Police Station,Bangalore City,BANASWADI SUB-DIVISION,Law & Order
37,1644037,GOVINDRAJPURA Police Station,Bangalore City,BANASWADI SUB-DIVISION,Law & Order
38,1644038,WEST CONTROL ROOM Police Station,Bangalore City,WEST DIVISION,Law & Order
39,1644039,UPPARPETE Police Station,Bangalore City,CHICKPETE  SUB-DIVISION,Law & Order
40,1644040,CITY MARKET Police Station,Bangalore City,CHICKPETE  SUB-DIVISION,Law & Order
41,1644041,KALASIPALYA Police Station,Bangalore City,CHICKPETE  SUB-DIVISION,Law & Order
42,1644042,COTTONPETE Police Station,Bangalore City,CHICKPETE  SUB-DIVISION,Law & Order
43,1644043,CHAMARAJAPETE Police Station,Bangalore City,CHICKPETE  SUB-DIVISION,Law & Order
44,1644044,J.J.NAGAR Police Station,Bangalore City,KENGERI GATE SUB-DIVISION,Law & Order
45,1644045,BYATARAYANAPURA Police Station,Bangalore City,KENGERI GATE SUB-DIVISION,Law & Order
